Record Sequence Number,EQID,Earthquake Name,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Earthquake Magnitude,Strike (deg),Dip (deg),Rake Angle (deg),Mechanism Based on Rake Angle,P-plunge (deg),P-trend (deg),T-plunge (deg),T-trend (deg),Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Length for Calculation of Ry (km),Fault Rupture Width (km),Fault Rupture Area (km^2),Average Vr/Vs,EpiD (km),HypD (km),Joyner-Boore Dist. (km),Campbell R Dist. (km),RmsD (km),ClstD (km),Rx,FW/HW Indicator,Source to Site Azimuth (deg),X,Y,Phi.D (deg),Unused Column.2,Depth,Preferred NEHRP Based on Vs30,Vs30 (m/s) selected for analysis,Measured/Inferred Class,Sigma of Vs30 (in natural log Units),Owner,Station Latitude,Station Longitude,STORIES,INSTLOC,Depth to Basement Rock,Site Visited,NGA Type,Northern CA/Southern CA - H11 Z1 (m),Northern CA/Southern CA - H11 Z1.5 (m),Northern CA/Southern CA - H11 Z2.5 (m),Northern CA/Southern CA - S4 Z1 (m),Northern CA/Southern CA - S4 Z1.5 (m),Northern CA/Southern CA - S4 Z2.5 (m),Rebe (m),File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,PEA Processing Flag,Type of Filter,npass,nroll,HP-H1 (Hz),HP-H2 (Hz),LP-H1 (Hz),LP-H2 (Hz),Factor,Lowest Usable Freq - H1 (Hz),Lowest Usable Freq - H2 (H2),Lowest Usable Freq - Ave. Component (Hz),PGA (g),PGV (cm/sec),PGD (cm),T0.010S,T0.020S,T0.030S,T0.050S,T0.075S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.750S,T1.000S,T1.500S,T2.000S,T3.000S,T4.000S,T5.000S,T6.000S,T7.500S,T10.000S,U,Damping (%),RotD percentile,Instrument Nat. Freq.,Instrument Damping,Instrument Type,Quality_Flag,Spectra Quality Flag,Late S-trigger,Late P-trigger
46,29,Lytle Creek,1970,912,1430,LA - Hollywood Stor FF,326,24303,5.33,325.0,48.0,59,3,1.3,256.36,67.45,163.23,34.2698,-117.54,8.0,0,5.627,4.5,3.8,17.2,-999.0,76.23,76.65,73.46,-999.0,75.74,73.67,-69.49,nu,-71.09,0.5,0.84,41.63,-999,S,D,316.46,0,0.1,CDMG,34.09,-118.339,0,GROUND LEVEL,2.5,-999,2,260.0,-999.0,2540.0,320.0,-999.0,5140.0,-999.0,LYTLECR\PEL090.AT2,LYTLECR\PEL180.AT2,LYTLECR\PEL-UP.AT2,90,180,A,-999,PEA,A,1,2.5,0.3,0.3,20.0,20.0,1.25,0.375,0.375,0.375,0.01842,0.77861,0.11792,0.018468,0.01876064,0.0188951,0.02244377,0.03850399,0.04675932,0.05488822,0.0483404,0.05743269,0.04933249,0.03343286,0.01567627,0.01201828,0.006782243,0.004090638,0.002689376,0.001091736,0.000419651,0.000252347,0.000172022,9.94869e-05,5.29129e-05,-999.0,5,50,-999.0,-999.0,-999,-999,0,Y,Y
47,29,Lytle Creek,1970,912,1430,Lake Hughes #1,320,24271,5.33,325.0,48.0,59,3,1.3,256.36,67.45,163.23,34.2698,-117.54,8.0,0,5.627,4.5,3.8,17.2,-999.0,93.22,93.56,90.25,-999.0,93.09,90.42,-38.59,nu,-25.31,0.5,0.84,36.89,-999,S,C,425.34,1,0.3,CDMG,34.674,-118.43,1,GROUND LEVEL,3.0,-999,1a,40.0,-999.0,240.0,-999.0,-999.0,-999.0,-999.0,LYTLECR\L01021.AT2,LYTLECR\L01291.AT2,LYTLECR\L01DWN.AT2,21,291,A,-999,PEA,A,1,2.5,0.8,0.3,10.0,20.0,1.25,1.0,0.375,1.0,0.0092627,0.64732,0.087345,0.00926928,0.009313568,0.009656656,0.01010574,0.01200808,0.0120513,0.01534752,0.02124881,0.03048148,0.02548847,0.02494535,0.02508912,0.01330568,0.005017526,0.003156478,0.002034915,0.000665706,0.000358337,0.000221986,0.000131439,7.16511e-05,3.88866e-05,-999.0,5,50,-999.0,-999.0,-999,-999,0,Y,Y
48,29,Lytle Creek,1970,912,1430,Puddingstone Dam (Abutment),87,278,5.33,325.0,48.0,59,3,1.3,256.36,67.45,163.23,34.2698,-117.54,8.0,0,5.627,4.5,3.8,17.2,-999.0,31.69,32.69,29.49,-999.0,31.62,30.02,-29.49,fw,-90.0,0.46,0.84,33.8,-999,S,C,421.44,2a_3a_4b_4c,0.33,CDMG,34.091,-117.808,0,LEFT (WEST) ABUTMENT,0.5,-999,-999,60.0,-999.0,320.0,320.0,-999.0,320.0,-999.0,LYTLECR\PUD055.AT2,LYTLECR\PUD325.AT2,LYTLECR\PUDDWN.AT2,55,325,A,-999,PEA,A,1,2.5,0.4,0.23,20.0,20.0,1.25,0.5,0.2875,0.5,0.018325,0.86331,0.15763,0.01842714,0.01865046,0.01972362,0.02029212,0.02963285,0.04795029,0.04791679,0.03860891,0.03526016,0.03345191,0.02647109,0.0234047,0.0211236,0.01140884,0.005800653,0.003478424,0.001500627,0.000583264,0.000368041,0.00026118,0.000143103,7.42284e-05,-999.0,5,50,-999.0,-999.0,-999,-999,0,Y,Y
49,29,Lytle Creek,1970,912,1430,Santa Anita Dam,68,104,5.33,325.0,48.0,59,3,1.3,256.36,67.45,163.23,34.2698,-117.54,8.0,0,5.627,4.5,3.8,17.2,-999.0,44.98,45.69,42.14,-999.0,44.73,42.52,-39.26,nu,-68.69,0.5,0.84,37.06,-999,S,C,667.13,2a_3a_4b_4c,0.4,LAFC,34.185,-118.018,0,ABUTMENT,0.0,-999,-999,40.0,-999.0,1040.0,20.0,-999.0,320.0,-999.0,LYTLECR\SAD003.AT2,LYTLECR\SAD273.AT2,LYTLECR\SADDWN.AT2,3,273,A,-999,PEA,A,1,2.5,0.3,0.4,23.0,30.0,1.25,0.375,0.5,0.5,0.037497,1.2079,0.13302,0.03770553,0.04032672,0.0479154,0.0568525,0.07556939,0.08453099,0.1003486,0.06341427,0.04325312,0.03372454,0.02495154,0.01873208,0.008393002,0.005788736,0.002847824,0.002095109,0.000961793,0.000435785,0.000261622,0.00016665,9.51911e-05,5.31309e-05,-999.0,5,50,-999.0,-999.0,-999,-999,0,Y,Y
50,29,Lytle Creek,1970,912,1430,Wrightwood - 6074 Park Dr,99,290,5.33,325.0,48.0,59,3,1.3,256.36,67.45,163.23,34.2698,-117.54,8.0,0,5.627,4.5,3.8,17.2,-999.0,13.01,15.27,10.7,-999.0,14.65,12.14,1.12,nu,5.99,0.5,0.84,34.77,-999,S,C,486.0,0,0.2,USGS,34.36,-117.63,2,GROUND LEVEL,0.068,-999,1a,60.0,-999.0,260.0,-999.0,-999.0,-999.0,-999.0,LYTLECR\WTW115.AT2,LYTLECR\WTW205.AT2,LYTLECR\WTWDWN.AT2,115,205,A,-999,PEA,A,1,2.5,0.2,0.18,20.0,23.0,1.25,0.25,0.225,0.25,0.16854,9.0257,0.94268,0.1688792,0.1707028,0.1733259,0.1982969,0.2941085,0.3852058,0.3331804,0.2509123,0.3811999,0.2824182,0.2914738,0.3171324,0.1611294,0.07018617,0.02376873,0.01374453,0.005779727,0.00300098,0.001819525,0.001093723,0.000686499,0.000383259,-999.0,5,50,-999.0,-999.0,-999,-999,0,Y,Y
51,30,San Fernando,1971,209,1400,2516 Via Tejon PV,3,411,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,71.14,72.32,55.2,-999.0,65.1,55.2,-54.51,nu,-99.03,0.64,0.86,40.47,-999,S,D,280.56,1,0.25,USGS,33.801,-118.387,-999,-999,-999.0,-999,-999,100.0,-999.0,640.0,320.0,-999.0,780.0,-999.0,SFERN\PVE065.AT2,SFERN\PVE155.AT2,SFERN\PVEDWN.AT2,65,155,A,-999,PEA,A,1,2.5,0.2,0.2,20.0,20.0,1.25,0.25,0.25,0.25,0.031274,5.5043,8.7349,0.03133257,0.03165085,0.03211527,0.03439595,0.03682524,0.04652938,0.08753704,0.09075771,0.0816217,0.08360575,0.06856768,0.06958245,0.04839784,0.04610479,0.03671466,0.01782846,0.02040146,0.02615192,0.02067355,0.01234728,0.005851305,0.002907469,-10.178016,5,50,-999.0,-999.0,-999,-999,0,?,Y
52,30,San Fernando,1971,209,1400,Anza Post Office,67,103,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,187.99,188.44,173.16,-999.0,183.86,173.16,-38.46,nu,-167.17,0.64,0.86,34.71,-999,S,C,360.45,2a_3a_4b_4c,0.25,CIT,33.5556,-116.674,1,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,300.0,-999.0,-999.0,-999.0,-999.0,SFERN\AZP045.AT2,SFERN\AZP315.AT2,SFERN\AZPDWN.AT2,45,315,A,-999,PEA,A,1,2.5,0.5,0.5,35.0,35.0,1.25,0.625,0.625,0.625,0.034383,1.7452,0.17188,0.03498222,0.0347685,0.0372959,0.03479328,0.03764974,0.04623375,0.06723679,0.1241735,0.07702251,0.07495873,0.07719259,0.08621698,0.03726429,0.01902185,0.009310611,0.003266865,0.000962181,0.000517155,0.000283832,0.000206658,0.000127875,7.10698e-05,-169.51318,5,50,-999.0,-999.0,-999,-999,0,-999,?
53,30,San Fernando,1971,209,1400,Bakersfield - Harvey Aud,124,1004,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,117.55,118.27,111.88,-999.0,123.64,113.02,85.74,nu,46.33,0.36,0.14,63.41,-999,D,D,241.41,2a_3a_4b_4c,0.25,USGS,35.37,-119.021,1,BASEMENT,-999.0,-999,-999,80.0,-999.0,1680.0,-999.0,-999.0,-999.0,-999.0,SFERN\BFA180.AT2,SFERN\BFA270.AT2,SFERN\BFA-UP.AT2,180,270,A,-999,PEA,A,1,2.5,0.1,0.1,13.0,20.0,1.25,0.125,0.125,0.125,0.0069465,1.4375,1.3177,0.006947332,0.006958156,0.006988355,0.007232723,0.007713712,0.008382067,0.01012849,0.01427209,0.01355254,0.02020703,0.0163073,0.01485752,0.0148458,0.01313921,0.008666784,0.01054514,0.006593988,0.004033988,0.003096107,0.002372099,0.00210368,0.001229441,97.225047,5,50,-999.0,-999.0,-999,-999,0,Y,Y
54,30,San Fernando,1971,209,1400,Borrego Springs Fire Sta,69,105,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,229.77,230.14,214.32,-999.0,225.37,214.32,-62.28,nu,-163.11,0.64,0.86,39.88,-999,D,D,338.54,2a_3a_4b_4c,0.25,USGS,33.26,-116.37,1,GROUND LEVEL,-999.0,-999,-999,80.0,-999.0,300.0,140.0,-999.0,140.0,-999.0,SFERN\BSF135.AT2,SFERN\BSF225.AT2,SFERN\BSFDWN.AT2,135,225,A,-999,PEA,A,1,2.5,0.1,0.1,23.0,30.0,1.25,0.125,0.125,0.125,0.0090232,1.5046,1.4775,0.009031557,0.009066204,0.009747632,0.01087193,0.00998482,0.01209471,0.01296734,0.01678709,0.02153772,0.02052885,0.01858375,0.01954629,0.01843046,0.01357824,0.006846045,0.005149418,0.003821031,0.004939656,0.003722004,0.002206884,0.002508481,0.001534709,-206.70847,5,50,-999.0,-999.0,-999,-999,0,Y,Y
55,30,San Fernando,1971,209,1400,Buena Vista - Taft,2,1,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,117.46,118.18,111.37,-999.0,122.68,112.52,53.72,nu,27.73,0.36,0.14,69.64,-999,S,C,385.69,2a_3a_4b_4c,0.4,USGS,35.16,-119.35,-999,-999,-999.0,-999,-999,60.0,-999.0,4300.0,-999.0,-999.0,2000.0,-999.0,SFERN\BVP090.AT2,SFERN\BVP180.AT2,SFERN\BVPDWN.AT2,90,180,A,-999,PEA,A,1,2.5,0.1,0.1,13.0,15.0,1.25,0.125,0.125,0.125,0.011999,1.3641,1.2985,0.01200973,0.01208959,0.01222918,0.01271582,0.01412564,0.01627555,0.03040953,0.03176088,0.03033475,0.0455391,0.03159506,0.0175787,0.01483441,0.01176086,0.008427782,0.01013596,0.0061063,0.004280855,0.001878491,0.001853133,0.002490971,0.001601168,118.84149,5,50,-999.0,-999.0,-999,-999,0,Y,Y
56,30,San Fernando,1971,209,1400,Carbon Canyon Dam,71,108,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,78.89,79.95,61.79,-999.0,73.62,61.79,-29.31,nu,-151.69,0.64,0.86,33.82,-999,S,D,235.0,0,0.1,ACOE,33.9121,-117.838,0,LEFT ABUTMENT,5.0,-999,-999,700.0,-999.0,4400.0,360.0,-999.0,3020.0,-999.0,SFERN\CND130.AT2,SFERN\CND220.AT2,SFERN\CNDDWN.AT2,130,220,A,-999,PEA,A,1,2.5,0.5,0.33,20.0,20.0,1.25,0.625,0.4125,0.625,0.071213,4.783,4.0855,0.07136515,0.07207414,0.07329825,0.07788769,0.1030374,0.1441763,0.1623069,0.18071,0.272727,0.2072021,0.1734874,0.09709537,0.05575737,0.03026754,0.01866966,0.01135581,0.01260444,0.01226682,0.009981721,0.009663456,0.007285245,0.003957588,-54.870978,5,50,-999.0,-999.0,-999,-999,0,-999,?
57,30,San Fernando,1971,209,1400,Castaic - Old Ridge Route,323,24278,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,25.36,28.5,19.33,-999.0,30.62,22.63,13.01,nu,34.4,0.36,0.26,59.74,-999,S,C,450.28,1,0.3,CDMG,34.564,-118.642,0,GROUND LEVEL,10.0,-999,2,820.0,-999.0,1620.0,320.0,-999.0,1520.0,-999.0,SFERN\ORR021.AT2,SFERN\ORR291.AT2,SFERN\ORRDWN.AT2,21,291,A,-999,PEA,A,1,2.5,0.3,0.3,35.0,35.0,1.25,0.375,0.375,0.375,0.28672,22.183,3.2944,0.2898467,0.2878746,0.300294,0.3196253,0.3393427,0.4940916,0.7157704,0.6336284,0.5470219,0.5665263,0.5780683,0.5700296,0.369804,0.2692232,0.1143527,0.05625649,0.02132098,0.009984883,0.005550107,0.003479121,0.00215135,0.001252829,37.701988,5,50,-999.0,-999.0,-999,-999,0,-999,?
58,30,San Fernando,1971,209,1400,Cedar Springs Pumphouse,73,112,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,102.97,103.79,92.25,-999.0,101.23,92.59,26.59,nu,163.6,0.64,0.08,84.78,-999,S,C,477.22,0,0.2,CDWR,34.31,-117.3,1,GROUND LEVEL,0.092,-999,-999,40.0,-999.0,220.0,-999.0,-999.0,-999.0,-999.0,SFERN\CSP126.AT2,SFERN\CSP216.AT2,SFERN\CSPDWN.AT2,126,216,A,-999,PEA,A,1,2.5,0.1,0.1,20.0,20.0,1.25,0.125,0.125,0.125,0.027202,2.2686,0.39823,0.02725272,0.02746774,0.02775904,0.03071273,0.03539347,0.04455113,0.08207665,0.05616497,0.08111219,0.09410118,0.08814307,0.05307668,0.0336815,0.02144699,0.008947611,0.007968892,0.002842833,0.001717716,0.00124439,0.00097582,0.000542816,0.000246368,-88.375379,5,50,-999.0,-999.0,-999,-999,0,Y,Y
59,30,San Fernando,1971,209,1400,"Cedar Springs, Allen Ranch",72,111,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,100.39,101.23,89.37,-999.0,98.41,89.72,22.28,nu,165.83,0.64,0.01,89.13,-999,S,B,813.48,1,0.4,CDWR,34.2778,-117.335,2,GROUND LEVEL,0.0,-999,-999,14.0,14.0,220.0,14.0,14.0,-999.0,-999.0,SFERN\CSM095.AT2,SFERN\CSM185.AT2,SFERN\CSMDWN.AT2,95,185,A,-999,PEA,A,1,2.5,0.2,0.3,35.0,35.0,1.25,0.25,0.375,0.375,0.01797,1.466,0.51787,0.0182654,0.01864063,0.02067522,0.02275034,0.02744251,0.0416991,0.0508639,0.04392667,0.03555524,0.0332871,0.0273954,0.03059303,0.01781982,0.02013565,0.009714937,0.006214438,0.004749293,0.003289623,0.0013636,0.000930934,0.000561813,0.000291719,-86.436464,5,50,-999.0,-999.0,-999,-999,0,Y,Y
60,30,San Fernando,1971,209,1400,Cholame - Shandon Array #2,125,1013,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,223.64,224.01,217.54,-999.0,228.62,218.13,85.95,nu,22.88,0.36,0.14,63.39,-999,S,D,184.75,0,0.1,CDMG,35.733,-120.29,0,GROUND LEVEL,3.0,-999,-999,80.0,-999.0,4220.0,-999.0,-999.0,1060.0,-999.0,SFERN\C02051.AT2,SFERN\C02321.AT2,SFERN\C02DWN.AT2,51,321,A,-999,PEA,A,1,2.5,0.1,0.1,20.0,30.0,1.25,0.125,0.125,0.125,0.0043448,1.3238,1.4185,0.004349263,0.004407594,0.004604906,0.005082605,0.006070373,0.006764099,0.006874011,0.006186845,0.006930932,0.007117736,0.007394361,0.008983329,0.009259751,0.01019954,0.009156686,0.007937126,0.005808963,0.003860687,0.002421197,0.002216488,0.001708313,0.002035181,218.65875,5,50,-999.0,-999.0,-999,-999,0,Y,Y
61,30,San Fernando,1971,209,1400,Cholame - Shandon Array #8,129,1015,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,224.26,224.63,218.17,-999.0,229.09,218.75,77.4,nu,20.47,0.36,0.14,64.51,-999,S,D,256.82,1,0.25,CDMG,35.671,-120.359,1,GROUND LEVEL,1.9,-999,-999,80.0,-999.0,4120.0,-999.0,-999.0,-999.0,-999.0,SFERN\C08051.AT2,SFERN\C08321.AT2,SFERN\C08XXX.AT2,51,321,A,-999,PEA,A,1,2.5,0.1,0.1,23.0,23.0,1.25,0.125,0.125,0.125,0.0056647,1.3762,1.8926,0.005672152,0.005698157,0.005772228,0.006087561,0.006572513,0.006342654,0.006735091,0.007968945,0.01042702,0.01305912,0.01706792,0.01312534,0.0178847,0.01406094,0.01023548,0.006546602,0.004148966,0.003497926,0.002009051,0.00223219,0.001367861,0.001456301,222.68105,5,50,-999.0,-999.0,-999,-999,0,Y,Y
62,30,San Fernando,1971,209,1400,Colton - So Cal Edison,74,113,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,109.54,110.3,96.81,-999.0,106.27,96.81,-0.61,nu,-179.64,0.64,0.86,11.7,-999,D,D,301.95,0,0.1,USGS,34.059,-117.312,1,GROUND LEVEL,0.18,-999,-999,80.0,-999.0,340.0,320.0,-999.0,580.0,-999.0,SFERN\CLN090.AT2,SFERN\CLN180.AT2,SFERN\CLN-UP.AT2,90,180,A,-999,PEA,A,1,2.5,0.1,0.1,13.0,13.0,1.25,0.125,0.125,0.125,0.038479,2.1163,0.32674,0.03849911,0.03860527,0.03892741,0.04025073,0.04553043,0.06327301,0.09076405,0.08716732,0.105332,0.1626623,0.07029033,0.06120896,0.02761365,0.01687186,0.009878407,0.005280664,0.003667479,0.00170953,0.000926305,0.000566507,0.000315398,0.000150832,-96.011041,5,50,-999.0,-999.0,-999,-999,0,Y,Y
63,30,San Fernando,1971,209,1400,Fairmont Dam,76,121,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,29.41,32.16,25.58,-999.0,36.41,30.19,34.4,hw,80.55,0.36,0.14,79.62,-999,S,C,634.33,2a_3a_4b_4c,0.4,CDMG,34.704,-118.426,0,ABUTMENT,0.006,-999,-999,40.0,-999.0,240.0,-999.0,-999.0,-999.0,-999.0,SFERN\FTR056.AT2,SFERN\FTR326.AT2,SFERN\FTR-UP.AT2,56,326,A,-999,PEA,A,1,2.5,0.15,0.12,35.0,35.0,1.25,0.1875,0.15,0.1875,0.093858,7.1308,2.5772,0.09499085,0.09463483,0.1140892,0.1186584,0.1421614,0.1548964,0.1585975,0.2161173,0.3401175,0.1815757,0.07642567,0.08232631,0.107985,0.07917541,0.03826572,0.02052368,0.01172959,0.007434723,0.005779041,0.003087485,0.002156643,0.000998578,23.639487,5,50,-999.0,-999.0,-999,-999,0,?,Y
64,30,San Fernando,1971,209,1400,Fort Tejon,122,998,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,65.58,66.86,59.52,-999.0,71.15,61.64,37.06,nu,35.1,0.36,0.14,77.59,-999,S,C,394.18,0,0.2,USGS,34.87,-118.9,1,GROUND LEVEL,0.0,-999,-999,40.0,-999.0,260.0,-999.0,-999.0,-999.0,-999.0,SFERN\FTJ000.AT2,SFERN\FTJ090.AT2,SFERN\FTJ-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.1,0.1,20.0,20.0,1.25,0.125,0.125,0.125,0.023993,1.2021,0.30679,0.0240218,0.02456826,0.02595894,0.02792467,0.04698511,0.06196608,0.0689849,0.08422064,0.05289116,0.05848987,0.04289688,0.01778916,0.008771787,0.008937668,0.005429683,0.005990087,0.003297553,0.002443311,0.001164846,0.000603386,0.000325508,0.000142557,70.259337,5,50,-999.0,-999.0,-999,-999,0,Y,Y
65,30,San Fernando,1971,209,1400,Gormon - Oso Pump Plant,121,994,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,49.83,51.49,43.95,-999.0,55.89,46.78,36.13,nu,45.96,0.36,0.14,78.27,-999,S,D,308.35,1,0.25,CDWR,34.808,-118.72,0,GROUND LEVEL,3.0,-999,-999,60.0,-999.0,280.0,-999.0,-999.0,-999.0,-999.0,SFERN\OPP000.AT2,SFERN\OPP270.AT2,SFERN\OPP-UP.AT2,0,270,A,-999,PEA,A,1,2.5,0.1,0.1,23.0,30.0,1.25,0.125,0.125,0.125,0.083392,7.4167,1.5397,0.08349636,0.08432736,0.09183216,0.1034425,0.1133565,0.1415817,0.2131556,0.2389485,0.233442,0.187206,0.1491872,0.1136561,0.06405194,0.06205475,0.05739492,0.0445501,0.01579697,0.005642551,0.003656041,0.002369778,0.00142316,0.000680588,52.593227,5,50,-999.0,-999.0,-999,-999,0,Y,Y
66,30,San Fernando,1971,209,1400,Hemet Fire Station,272,12331,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,153.8,154.35,139.14,-999.0,149.75,139.14,-27.63,nu,-168.54,0.64,0.86,30.76,-999,S,D,328.09,2a_3a_4b_4c,0.3,CDMG,33.729,-116.979,1,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,280.0,-999.0,-999.0,-999.0,-999.0,SFERN\H05135.AT2,SFERN\H05225.AT2,SFERN\H05DWN.AT2,135,225,A,-999,PEA,A,1,2.5,0.4,0.4,35.0,35.0,1.25,0.5,0.5,0.5,0.036698,2.1911,0.36751,0.03733117,0.03730655,0.04042936,0.04357095,0.05841153,0.07673683,0.08667284,0.1025796,0.08570958,0.08408502,0.09012959,0.06737275,0.03987393,0.02966169,0.01314972,0.008504832,0.002393943,0.001146515,0.000680561,0.000436007,0.00023909,0.000150343,-136.64542,5,50,-999.0,-999.0,-999,-999,0,-999,?
67,30,San Fernando,1971,209,1400,Isabella Dam (Aux Abut),137,1035,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,134.1,134.73,130.0,-999.0,140.4,130.98,131.22,nu,70.85,0.36,0.14,59.99,-999,S,C,591.0,2a_3a_4b_4c,0.3,ACOE,35.644,-118.474,-999,-999,-999.0,-999,-999,40.0,-999.0,200.0,-999.0,-999.0,-999.0,-999.0,SFERN\ISD014.AT2,SFERN\ISD284.AT2,SFERN\ISDDWN.AT2,14,284,A,-999,PEA,A,1,2.5,0.1,0.1,13.0,13.0,1.25,0.125,0.125,0.125,0.008756,2.2987,3.6363,0.008767308,0.00880957,0.008887927,0.00917238,0.01001738,0.01204911,0.01963281,0.02816995,0.02852238,0.0276395,0.01648077,0.01467826,0.01087543,0.01326057,0.008833781,0.006326408,0.004296436,0.004047949,0.003475735,0.002811689,0.002589596,0.002685567,59.094959,5,50,-999.0,-999.0,-999,-999,0,-999,?
68,30,San Fernando,1971,209,1400,LA - Hollywood Stor FF,326,24303,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,39.49,41.57,22.77,-999.0,33.23,22.77,-22.3,fw,-101.66,0.64,0.86,31.85,-999,S,D,316.46,0,0.1,CDMG,34.09,-118.339,0,GROUND LEVEL,2.5,-999,2,260.0,-999.0,2540.0,320.0,-999.0,5140.0,-999.0,SFERN\PEL090.AT2,SFERN\PEL180.AT2,SFERN\PEL-UP.AT2,90,180,A,-999,PEA,A,1,2.5,0.08,0.08,35.0,35.0,1.25,0.1,0.1,0.1,0.21729,20.472,14.383,0.2235382,0.2324734,0.3045525,0.3133894,0.3975409,0.6010683,0.524725,0.557537,0.6145472,0.4633387,0.3726997,0.3032548,0.2097065,0.1773004,0.1556122,0.08834175,0.0768677,0.07891687,0.05081492,0.02986196,0.01658385,0.007666165,-4.8394292,5,50,-999.0,-999.0,-999,-999,0,-999,?
69,30,San Fernando,1971,209,1400,LB - Terminal Island,81,130,6.61,288.0,50.0,83,2,4.77,21.96,82.82,153.42,34.44,-118.41,13.0,1,0.0,20.0,27.4,438.4,0.7777777777777777,76.38,77.48,58.99,-999.0,70.21,58.99,-54.07,nu,-113.56,0.64,0.86,40.29,-999,D,D,217.92,1,0.25,USGS,33.77,-118.23,1,BASEMENT,-999.0,-999,-999,140.0,-999.0,2260.0,420.0,-999.0,3520.0,24.7678,SFERN\TLI249.AT2,SFERN\TLI339.AT2,SFERN\TLI-UP.AT2,249,339,A,-999,PEA,A,1,2.5,0.1,0.1,20.0,20.0,1.25,0.125,0.125,0.125,0.028429,8.6517,10.01,0.02845695,0.0285797,0.02895336,0.02995098,0.0328059,0.03992522,0.05357957,0.06899358,0.08276401,0.1099868,0.1022887,0.07983323,0.05749704,0.03582326,0.03237698,0.02716248,0.03914451,0.04610682,0.04176491,0.03876773,0.01899733,0.00678878,-25.070043,5,50,-999.0,-999.0,-999,-999,0,?,Y
